english,portuguese
you,tu
i,eu
the,a
to,para
a,uma
it,isto
and,e
that,que
of,de
is,é
in,dentro
what,que
we,nós
me,mim
this,esta
he,ele
for,por
my,minha
on,em
have,tenho
your,sua
do,Faz
was,estava
no,não
not,não
be,ser
are,estão
don,vestir
know,conhecer
can,posso
with,com
but,mas
all,tudo
so,então
just,apenas
there,lá
here,aqui
they,elas
like,Como
get,obter
she,ela
go,vai
if,E se
right,direita
out,Fora
about,cerca de
up,acima
at,no
him,ele
now,agora
one,um
come,venha
well,Nós vamos
her,sua
how,como
will,vontade
got,obteve
want,querer
think,acho
as,como
see,Vejo
did,fez
good,Boa
who,quem
why,Por quê
from,a partir de
let,deixar
his,seu
yes,sim
when,quando
going,indo
time,Tempo
okay,ok
back,costas
look,olhar
us,nós
would,seria
them,eles
where,Onde
were,estavam
take,leva
then,então
had,tive
or,ou
been,estive
our,nosso
gonna,vai
tell,dizer
really,verdade
man,cara
some,algum
say,dizer
hey,Ei
could,poderia
by,de
need,necessidade
something,alguma coisa
has,tem
too,também
more,mais
way,maneira
down,baixa
make,fazer
very,muito
never,Nunca
only,só
people,pessoas
over,sobre
because,Porque
little,pouco
please,por favor
love,amar
should,deve
mean,quer dizer
said,disse
sorry,desculpe
give,dar
off,fora
am,sou
thank,agradecer
any,algum
two,dois
even,até
much,Muito de
doing,fazendo
sure,certo
thing,coisa
these,esses
help,ajuda
first,primeiro
into,para dentro
anything,nada
still,ainda
find,encontrar
life,vida
nothing,nada
sir,Senhor
day,dia
god,Deus
work,trabalhar
their,seus
again,novamente
maybe,pode ser
must,devo
before,antes
other,outro
wait,esperar
stop,Pare
call,ligar
after,depois
won,ganho
talk,conversa
away,longe
than,que
thought,pensamento
home,casa
night,noite
put,por
great,excelente
those,Essa
last,último
better,melhorar
everything,tudo
told,contou
mr.,Senhor.
new,novo
things,coisas
always,sempre
keep,continuar
long,grandes
years,anos
leave,deixar
does,faz
money,dinheiro
around,por aí
name,nome
place,lugar
ever,sempre
feel,sentir
guys,caras
father,pai
guy,cara
made,feito
old,velho
which,que
big,grande
lot,muitos
done,feito
hello,olá
nice,bom
believe,acreditam
girl,menina
someone,alguém
fine,multar
thanks,obrigado
wanted,procurado
kind,Gentil
coming,chegando
house,lar
every,cada
through,Através dos
being,sendo
course,curso
stay,fica
left,deixou
dad,Papai
enough,suficiente
happened,ocorrido
came,veio
may,maio
mother,mãe
wrong,errado
world,mundo
bad,ruim
might,poderia
three,três
today,hoje
listen,ouço
another,outro
understand,Compreendo
hear,ouvir
remember,lembrar
ask,perguntar
own,ter
same,mesmo
show,exposição
else,senão
kill,matar
talking,conversando
found,encontrado
next,Next
getting,recebendo
care,Cuidado
car,carro
looking,olhando
son,filho
try,experimentar
woman,mulher
went,fui
hi,Oi
dead,morta
many,muitos
mind,mente
wasn,não era
friend,amigo
best,melhor
mom,mamãe
hell,inferno
morning,manhã
trying,tentando
boy,Garoto
together,juntos
yourself,você mesma
job,trabalho
saw,Serra
family,família
real,real
without,sem
baby,bebê
room,sala
wouldn,não
already,já
move,jogada
most,a maioria
seen,visto
live,viver
miss,senhorita
actually,na realidade
shit,merda
both,Ambas
heard,ouvi
once,uma vez
ready,pronto
head,cabeça
called,chamado
used,usado
idea,idéia
knew,sabia
hold,aguarde
happy,feliz
door,porta
such,tal
fuck,Porra
brother,irmão
also,Além disso
pretty,bonito
bit,pedaço
took,tomou
haven,refúgio
yet,ainda
men,homens
whole,inteira
start,começar
use,usar
while,enquanto
since,Desde a
wife,esposa
days,dias
guess,adivinhar
tomorrow,amanhã
matter,matéria
meet,Conheça
bring,trazer
tonight,esta noite
everyone,todos
run,correr
wanna,quer
hard,Difícil
alone,sozinho
myself,Eu mesmo
school,escola
gone,se foi
end,fim
saying,dizendo
phone,telefone
play,Toque
looks,parece
couldn,não poderia
fucking,porra
problem,problema
few,alguns
friends,amigos
gotta,preciso
ago,atrás
open,abrir
anyone,alguém
killed,morto
hope,esperança
face,Rosto
until,até
lost,perdido
police,polícia
excuse,com licença
turn,virar
business,o negócio
case,caso
wants,quer
says,diz
TRUE,VERDADE
die,morrer
heart,coração
soon,em breve
each,cada
worry,preocupar
later,mais tarde
year,ano
watch,ver
music,música
hand,mão
having,tendo
probably,provavelmente
beautiful,bonito
doctor,doutor
sit,sentar
eat,comer
thinking,pensamento
young,novo
second,segundo
working,trabalhando
water,agua
person,pessoa
part,papel
kids,crianças
late,atrasado
stuff,rechear
exactly,exatamente
under,debaixo
death,morte
minute,minuto
pay,pagar
crazy,louco
forget,esquecer
everybody,todo o mundo
kid,miúdo
change,mudança
gave,deu
happen,acontecer
damn,droga
five,cinco
drink,beber
far,distante
knows,sabe
whatever,qualquer que seja
eyes,olhos
shut,fechar
aren,are
hit,bater
taking,levando
easy,fácil
times,vezes
check,Verifica
hands,mãos
minutes,minutos
deal,acordo
different,diferente
means,meios
point,apontar
inside,dentro
makes,faz
asked,Perguntou
somebody,alguém
mine,minha
making,fazer
body,corpo
afraid,com medo
sleep,dorme
chance,chance
dear,querida
quite,bastante
four,quatro
anyway,qualquer maneira
close,perto
party,Festa
fun,Diversão
against,contra
word,palavra
comes,vem
important,importante
set,definir
shall,deve
story,história
number,número
daughter,filha
least,ao menos
waiting,esperando
hurt,ferir
wish,desejo
moment,momento
fight,lutar
week,semana
husband,esposo
girls,garotas
rest,descanso
married,casado
fire,incêndio
game,jogos
nobody,ninguém
children,crianças
side,lateral
stand,ficar de pé
read,leitura
though,no entanto
cut,cortar
started,começado
sister,irmã
supposed,suposto
between,entre
child,criança
goes,vai
hours,horas
speak,falar
women,mulheres
behind,atras do
almost,quase
truth,verdade
blood,sangue
able,capaz
lady,senhora
anymore,não mais
playing,jogando
gets,recebe
shot,tomada
reason,razão
trouble,dificuldade
break,pausa
war,guerra
city,cidade
walk,caminhar
town,Cidade
trust,Confiar em
met,conheceu
office,escritório
question,pergunta
brought,trouxeram
yours,Sua
welcome,receber
high,Alto
couple,casal
half,metade
died,faleceu
cool,frio
free,gratuitamente
either,ou
seems,parece
power,potência
bye,tchau
buy,Comprar
telling,Dizer
honey,querida
tried,tentou
front,frente
team,equipe
answer,responda
gun,arma de fogo
boys,Rapazes
line,linha
send,mandar
news,notícia
stupid,estúpido
bed,cama
hurry,pressa
full,cheio
months,meses
save,Salve 
sometimes,as vezes
become,vir a ser
along,junto
hate,ódio
food,Comida
outside,fora
light,leve
needs,precisa
dog,cão
country,país
clear,Claro
order,pedido
fact,facto
lord,senhor
captain,capitão
six,seis
hot,quente
funny,engraçado
black,Preto
mrs.,Sra.
alive,vivo
pick,escolha
feeling,sentindo-me
living,vivo
cause,causa
ahead,à frente
lose,perder
king,rei
plan,plano
dinner,jantar
sighs,suspiros
sort,ordenar
leaving,deixando
shouldn,deveria
running,encontro
boss,patrão
alright,tudo bem
promise,promessa
taken,levado
safe,seguro
book,livro
sent,enviei
white,branco
hour,hora
anybody,qualquer pessoa
small,pequeno
perfect,perfeito
cause,causa
lives,vidas
special,especial
parents,pais
john,João
himself,ele mesmo
perhaps,talvez
sounds,sons
serious,sério
sick,doente
company,companhia
scared,assustada
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
possible,possível
shoot,atirar
touch,tocar
sound,som
top,topo
ass,bunda
laughs,ri
cannot,não podes
asking,Perguntando
win,vencer
glad,alegre
control,ao controle
hmm,Hmm
human,humano
drive,dirigir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
murder,assassinato
happens,acontece
air,ar
ten,dez
daddy,papai
finally,finalmente
chuckles,risadas
fast,velozes
cold,frio
seem,parecer
laughing,rindo
words,palavras
hospital,hospital
street,rua
hang,aguentar
dance,dança
meeting,encontro
till,até
others,outros
catch,pegar
follow,Segue
sense,senso
sex,sexo
lie,mentira
evening,tarde
master,mestre
known,conhecido
dream,Sonhe
write,escrever
million,milhão
voice,voz
sweet,doce
rather,em vez
felt,sentiu
sign,sinal
lucky,por sorte
somewhere,algum lugar
bet,aposta
longer,mais tempo
calling,Chamando
worked,trabalhado
quiet,tranquilo
looked,visto
less,menos
pull,puxar
beat,bater
careful,cuidadoso
coffee,café
return,Retorna
secret,segredo
weeks,semanas
weren,não estava
date,encontro
seeing,vendo
fall,cair
given,dado
ooh,ooh.
fault,culpa
straight,Em linha reta
takes,leva
song,música
future,futuro
gentlemen,cavalheiros
loved,amavam
changed,mudado
road,estrada
calm,calma
wonderful,Maravilhoso
mad,louco
turned,virado
drop,derrubar
ladies,senhoras
learn,aprender
step,Passo
absolutely,absolutamente
early,cedo
explain,explique
clean,limpar \ limpo
piece,pedaço
yesterday,ontem
throw,jogar
picture,foto
land,terra
feet,pés
wonder,maravilha
questions,questões
speaking,Falando
worth,valor
darling,querida
dude,parceiro
giving,dando
president,Presidente
eye,olho
quick,rápido
moving,movendo-se
figure,figura
state,Estado
strong,Forte
sam,Sam
none,Nenhum
amazing,incrível
ones,uns
works,funciona
act,Aja
needed,precisava
weird,estranhas
law,lei
worried,preocupado
report,relatório
goodbye,adeus
missing,ausente
choice,escolha
happening,acontecendo
chief,chefe
wedding,Casamento
strange,estranho
general,em geral
pain,dor
am,sou
kidding,brincando
decided,decidiu
pass,passar
tired,cansado
class,aula
officer,Policial
kept,manteve
wake,acordar
worse,pior
busy,ocupado
mistake,erro
kiss,beijo
court,tribunal
building,prédio
finish,Finalizar
during,no decorrer
age,idade
ship,enviar
caught,apanhado
marry,casar
meant,significou
sell,vender
dark,Sombrio
watching,assistindo
system,sistema
suppose,suponha
evidence,Evidência
movie,filme
ride,andar de
completely,completamente
mouth,boca
totally,totalmente
birthday,aniversário
forgive,perdoar
born,nascido
imagine,Imagine
information,em formação
instead,em vez de
definitely,definitivamente
security,segurança
certainly,certamente
film,filme
month,mês
lying,deitado
unless,a não ser que
train,Comboio
seven,Sete
wear,vestir
clothes,roupas
michael,Michael
hotel,hotel
christmas,Natal
attack,ataque
hasn,Hasn
round,redondo
expect,Espero
sing,canta
terrible,Terrível
george,George.
bag,bolsa
history,história
blue,azul
near,aproximar
broke,quebrado
station,estação
seriously,a sério
forever,para todo sempre
david,David
frank,Frank.
except,exceto
thinks,pensa
message,mensagem
entire,inteira
table,tabela
talked,falou
across,através
rock,balançar
lovely,amável
handle,lidar com
middle,meio
buddy,camarada
paid,pago
protect,proteger
using,usando
floor,andar
ran,corrido
swear,jurar
spend,gastar
situation,situação
ring,anel
anywhere,em qualquer lugar
dangerous,perigoso
bill,conta
york,Iorque
army,exército
lead,conduzir
bought,comprou
finished,finalizado
fair,feira
sun,sol
letter,carta
fool,enganar
attention,atenção
club,clube
simple,simples
interesting,interessante
space,espaço
test,teste
box,caixa
group,grupo
single,solteiro
sitting,sentado
marriage,casado
join,Junte-se
fear,temer
peace,Paz
forgot,esquecido
force,força
short,baixo
normal,normal
present,presente
enjoy,aproveitar
mike,Mike
crime,crime
horse,cavalo
ground,terra
american,americano
count,contar
area,área
charge,carregar
honor,honra
lunch,almoço
miles,milhas
radio,rádio
idiot,idiota
ball,bola
surprise,surpresa
paper,papel
key,chave
boat,barco
quickly,rapidamente
gold,ouro
bar,bar
fish,peixe
mark,marca
tom,Tom
wearing,vestindo
crying,chorando
accident,acidente
government,governo
eight,oito
fell,caiu
cover,cobrir
certain,certo
interested,interessado
deep,profundo
star,Estrela
sea,mar
agree,concordar
problems,Problemas.
detective,detetive
prison,prisão
major,formar-se
stick,Vara
offer,oferecer
difficult,difícil
smart,inteligente
personal,pessoal
record,registro
stopped,parado
hide,ocultar
whether,se
bank,banco
trip,viagem
relax,relaxar
america,América
public,público
list,Lista
afternoon,tarde
brain,cérebro
fix,consertar
bastard,Desgraçado
proud,orgulhoso
tea,chá
service,serviço
screaming,gritando
forward,frente
angry,nervoso
park,parque
soul,alma
fighting,brigando
peter,Pedro
rich,rico
agent,agente
blow,soprar
paul,Paulo
dress,vestir
mary,Mary
missed,esquecidas
scene,cena
killing,matando
standing,de pé
saved,salvou
respect,respeito
killer,assassino
ice,gelo
mess,bagunça
tough,resistente
feels,sentimentos
church,igreja
sad,triste
cell,célula
drunk,bêbado
share,compartilhar
camera,Câmera
mm-hmm,mm-hmm
within,dentro de
card,cartão
fly,mosca
ben,Ben.
girlfriend,Namorada
laugh,riso
smell,cheiro
broken,quebrado
mum,mãe
honest,honesto
often,frequentemente
starting,iniciando
calls,Chamadas
spent,gasto
third,terceiro
english,inglês
visit,Visita
mama,mamãe
judge,juiz
window,janela
hungry,com fome
dare,Ouse
relationship,relação
moved,mudou-se
prove,provar
private,privado
wall,muro
seat,assento
position,posição
lieutenant,tenente
realize,entender
especially,especialmente
machine,máquina
walking,andando
art,arte
pleasure,prazer
bloody,sangrento
college,faculdade
french,francês
involved,envolvido
cry,choro
became,tornou-se
lived,vivido
impossible,impossível
obviously,obviamente
neither,nem
accept,aceitar
boyfriend,namorado
besides,além do mais
queen,rainha
teacher,professora
cops,policiais
sake,interesse
loves,O amor é
carry,carregar
teach,Ensinar
apartment,apartamento
upset,chateado
green,verde
liked,apreciado
cute,fofa
evil,mal
professor,professor
contact,contato
joke,Piada
cop,policial
huge,enorme
holy,piedosos
store,armazenar
jail,cadeia
lawyer,advogado
doubt,dúvida
continue,Prosseguir
appreciate,apreciar
cat,gato
shop,fazer compras
congratulations,Parabéns
driving,dirigindo